# SIMULATION OUTPUT
# i, j, thmin, thmax, f_bal, mean, std_dev, ks_p_value
0 0 90.0000 90.0000      nan 0.0000e+00 0.0000e+00      nan
0 1 90.0000 85.0000      nan 0.0000e+00 0.0000e+00      nan
0 2 90.0000 80.0000      nan 0.0000e+00 0.0000e+00      nan
0 3 90.0000 75.0000      nan 0.0000e+00 0.0000e+00      nan
0 4 90.0000 70.0000      nan 0.0000e+00 0.0000e+00      nan
0 5 90.0000 65.0000      nan 0.0000e+00 0.0000e+00      nan
0 6 90.0000 60.0000      nan 0.0000e+00 0.0000e+00      nan
0 7 90.0000 55.0000      nan 0.0000e+00 0.0000e+00      nan
0 8 90.0000 50.0000      nan 0.0000e+00 0.0000e+00      nan
0 9 90.0000 45.0000      nan 0.0000e+00 0.0000e+00      nan
0 10 90.0000 40.0000      nan 0.0000e+00 0.0000e+00      nan
0 11 90.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
0 12 90.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
0 13 90.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
0 14 90.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
0 15 90.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
0 16 90.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
0 17 90.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
1 0 85.0000 90.0000 8.5425e-02 5.5906e+02 1.8101e+03 7.4900e-30
1 1 85.0000 85.0000      nan 0.0000e+00 0.0000e+00      nan
1 2 85.0000 80.0000      nan 0.0000e+00 0.0000e+00      nan
1 3 85.0000 75.0000      nan 0.0000e+00 0.0000e+00      nan
1 4 85.0000 70.0000      nan 0.0000e+00 0.0000e+00      nan
1 5 85.0000 65.0000      nan 0.0000e+00 0.0000e+00      nan
1 6 85.0000 60.0000      nan 0.0000e+00 0.0000e+00      nan
1 7 85.0000 55.0000      nan 0.0000e+00 0.0000e+00      nan
1 8 85.0000 50.0000      nan 0.0000e+00 0.0000e+00      nan
1 9 85.0000 45.0000      nan 0.0000e+00 0.0000e+00      nan
1 10 85.0000 40.0000      nan 0.0000e+00 0.0000e+00      nan
1 11 85.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
1 12 85.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
1 13 85.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
1 14 85.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
1 15 85.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
1 16 85.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
1 17 85.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
2 0 80.0000 90.0000 1.7377e-01 3.2940e+02 2.9544e+03 3.0953e-20
2 1 80.0000 85.0000 9.6632e-02 6.9651e+01 4.8000e+01 2.6647e-16
