# SIMULATION OUTPUT
# i, j, thmin, thmax, f_bal, mean, std_dev, ks_p_value
0 0 90.0000 90.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 1 90.0000 85.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 2 90.0000 80.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 3 90.0000 75.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 4 90.0000 70.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 5 90.0000 65.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 6 90.0000 60.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 7 90.0000 55.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 8 90.0000 50.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 9 90.0000 45.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 10 90.0000 40.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 11 90.0000 35.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 12 90.0000 30.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 13 90.0000 25.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 14 90.0000 20.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 15 90.0000 15.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 16 90.0000 10.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 17 90.0000 5.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 0 85.0000 90.0000 8.5842e-02 9.2935e+02 6.9394e+03 2.2405e-30
1 1 85.0000 85.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 2 85.0000 80.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 3 85.0000 75.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 4 85.0000 70.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 5 85.0000 65.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 6 85.0000 60.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 7 85.0000 55.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 8 85.0000 50.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 9 85.0000 45.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 10 85.0000 40.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 11 85.0000 35.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 12 85.0000 30.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 13 85.0000 25.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 14 85.0000 20.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 15 85.0000 15.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 16 85.0000 10.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 17 85.0000 5.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 0 80.0000 90.0000 1.6745e-01 4.6002e+03 1.9667e+05 1.1731e-22
2 1 80.0000 85.0000 9.2876e-02 7.2008e+01 4.6013e+01 1.4764e-17
2 2 80.0000 80.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 3 80.0000 75.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 4 80.0000 70.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 5 80.0000 65.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 6 80.0000 60.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 7 80.0000 55.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 8 80.0000 50.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 9 80.0000 45.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 10 80.0000 40.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 11 80.0000 35.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 12 80.0000 30.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 13 80.0000 25.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 14 80.0000 20.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 15 80.0000 15.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 16 80.0000 10.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 17 80.0000 5.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 0 75.0000 90.0000 2.5830e-01 2.9294e+02 2.6588e+03 5.8187e-15
3 1 75.0000 85.0000 1.8885e-01 5.6043e+01 4.4305e+01 3.1447e-12
3 2 75.0000 80.0000 1.0212e-01 4.5060e+01 3.0655e+01 6.5675e-11
3 3 75.0000 75.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 4 75.0000 70.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 5 75.0000 65.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 6 75.0000 60.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 7 75.0000 55.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 8 75.0000 50.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
